rank,coachRating,percentile,rawScore,name,coachId,birthDate,birthDateSource,birthPlace,birthPlaceSource,deathDate,nationality,nationalitySource,college,collegeSource,highSchool,almaMater,nickname,currentTeam,currentRole,latestSeason,headCoachSeasons,assistantCoachSeasons,regularGames,regularWins,regularLosses,regularWinPct,playoffGames,playoffWins,playoffLosses,playoffWinPct,wnbaChampionships,wnbaFinalsAppearances,coachOfTheYear,coachOfTheMonth,championshipPoints,coachOfYearPoints,regularSeasonWinPoints,playoffWinPoints,imageUrl,localImage,basketballReferenceUrl,wikipediaUrl,wikipediaMatchScore
49,48,55.56,3.243,Nancy Lieberman,liebena01w,1958-07-01,basketball-reference,"Brooklyn, NY",basketball-reference,,,,Old Dominion,basketball-reference,"Far Rockaway(New York City, New York)",,,DET,Head Coach,2000,3,0,94,46,48,0.489,1,0,1,0,0,0,0,0,0,0,1.61,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Nancy_Lieberman_by_Gage_Skidmore_2.jpg/960px-Nancy_Lieberman_by_Gage_Skidmore_2.jpg,images/049_Nancy_Lieberman.jpg,https://www.basketball-reference.com/wnba/coaches/liebena01w.html,https://en.wikipedia.org/wiki/Nancy_Lieberman,138
50,48,54.63,3.033,Rick Mahorn,mahorri01w,1958-09-21,basketball-reference,"Hartford, CT",basketball-reference,,,,Hampton,basketball-reference,"Weaver (Hartford, Connecticut)",,,DET,Assistant Coach,2009,1,5,31,17,14,0.548,5,3,2,0.6,0,0,0,0,0,0,0.595,0.48,https://upload.wikimedia.org/wikipedia/commons/3/32/Rick_Mahorn.jpg,images/050_Rick_Mahorn.jpg,https://www.basketball-reference.com/wnba/coaches/mahorri01w.html,https://en.wikipedia.org/wiki/Rick_Mahorn,110
51,47,53.7,2.956,Linda Hill-MacDonald,hillmli99w,1948-08-21,basketball-reference,"Morton, PA",basketball-reference,,,,West Chester (PA),basketball-reference,,,,WAS,Assistant Coach,2003,3,2,90,42,48,0.467,3,1,2,0.333,0,0,0,0,0,0,1.47,0.16,,,https://www.basketball-reference.com/wnba/coaches/hillmli99w.html,https://en.wikipedia.org/wiki/Linda_Hill-MacDonald,110
52,47,52.78,2.754,Carolyn Peck,peckca99w,1966-01-22,basketball-reference,"Jefferson City, TN",basketball-reference,,,,Vanderbilt,basketball-reference,,,,ORL,Head Coach,2001,3,0,96,44,52,0.458,3,1,2,0.333,0,0,0,0,0,0,1.54,0.16,https://upload.wikimedia.org/wikipedia/en/c/cc/Carolyn_Peck.jpg,images/052_Carolyn_Peck.jpg,https://www.basketball-reference.com/wnba/coaches/peckca99w.html,https://en.wikipedia.org/wiki/Carolyn_Peck,138
53,46,51.85,2.73,Steven Key,keyst99w,1968-05-14,basketball-reference,"Los Angeles, CA",basketball-reference,,,,Boston University,basketball-reference,"Atholton (Columbia, Maryland)",,,IND,Assistant Coach,2017,3,6,102,42,60,0.412,0,0,0,,0,0,0,0,0,0,1.47,0,,,https://www.basketball-reference.com/wnba/coaches/keyst99w.html,https://en.wikipedia.org/wiki/Steven_Key,110
54,46,50.93,2.53,Nell Fortner,fortnne99w,1959-03-03,basketball-reference,"Jackson, MS",basketball-reference,,,,Texas,basketball-reference,,,,IND,Head Coach,2003,3,0,98,42,56,0.429,3,1,2,0.333,0,0,0,0,0,0,1.47,0.16,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Nell_Fortner.jpg/960px-Nell_Fortner.jpg,images/054_Nell_Fortner.jpg,https://www.basketball-reference.com/wnba/coaches/fortnne99w.html,https://en.wikipedia.org/wiki/Nell_Fortner,100
55,45,50,2.471,Carrie Graf,grafca99w,1967-06-23,basketball-reference,"Melbourne, AU",basketball-reference,,,,,,,,,PHO,Head Coach,2005,2,4,68,33,35,0.485,0,0,0,,0,0,0,0,0,0,1.155,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Carrie_Graf_at_day_two_of_the_Opals_camp.jpg/960px-Carrie_Graf_at_day_two_of_the_Opals_camp.jpg,images/055_Carrie_Graf.jpg,https://www.basketball-reference.com/wnba/coaches/grafca99w.html,https://en.wikipedia.org/wiki/Carrie_Graf,128
56,45,49.07,2.415,Eric Thibault,thibaer01w,1987-08-22,basketball-reference,"Chicago, Illinois, U.S.",wikipedia,,,,University of Missouri,wikipedia,,,,MIN,Associate Head Coach,2025,2,11,80,33,47,0.412,2,0,2,0,0,0,0,0,0,0,1.155,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Eric_Thibault_2024_%28cropped%29.jpg/960px-Eric_Thibault_2024_%28cropped%29.jpg,images/056_Eric_Thibault.jpg,https://www.basketball-reference.com/wnba/coaches/thibaer01w.html,https://en.wikipedia.org/wiki/Eric_Thibault,128
57,44,48.15,2.305,Latricia Trammell,trammla01w,1968-02-20,basketball-reference,"Claremore, OK",basketball-reference,,,,"Seminole State College,East Central University",basketball-reference,"Seminole (Seminole, Oklahoma)",,,DAL,Head Coach,2024,2,5,80,31,49,0.388,5,2,3,0.4,0,0,0,0,0,0,1.085,0.32,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Dallas_Wing%27s_coach_Latricia_Trammell_in_2024_%282%29.jpg/960px-Dallas_Wing%27s_coach_Latricia_Trammell_in_2024_%282%29.jpg,images/057_Latricia_Trammell.jpg,https://www.basketball-reference.com/wnba/coaches/trammla01w.html,https://en.wikipedia.org/wiki/Latricia_Trammell,138
58,44,47.22,2.285,Jennifer Gillom,gilloje01w,1964-06-13,basketball-reference,"Abbeville, MS",basketball-reference,,,,Ole Miss,basketball-reference,"Lafayette(Oxford, Mississippi)",,Grandmama,CON,Assistant Coach,2015,3,5,78,31,47,0.397,2,0,2,0,0,0,0,0,0,0,1.085,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/058_Jennifer_Gillom.png,https://www.basketball-reference.com/wnba/coaches/gilloje01w.html,https://en.wikipedia.org/wiki/Jennifer_Gillom,138
59,43,46.3,2.255,Linda Hargrove,hargrli99w,1950-04-02,basketball-reference,"Great Bend, KS",basketball-reference,,,,,,,,Also known as Linda Adams,WAS,Assistant Coach,2004,3,1,96,37,59,0.385,0,0,0,,0,0,0,0,0,0,1.295,0,,,https://www.basketball-reference.com/wnba/coaches/hargrli99w.html,https://en.wikipedia.org/wiki/Linda_Hargrove_(basketball),70
60,43,45.37,2.21,Walt Hopkins,hopkiwa01w,1985-07-30,basketball-reference,"Sparks, NV",basketball-reference,,,,Nevada,basketball-reference,"Edward C. Reed High School (Sparks, NV)",,,NYL,Head Coach,2021,2,2,54,14,40,0.259,1,0,1,0,0,0,0,1,0,0,0.49,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/2022-11-24_Basketball%2C_FIBA_Women%27s_Eurobasket_Qualifiers%2C_GER-BIH_1DX_6298_by_Stepro.jpg/960px-2022-11-24_Basketball%2C_FIBA_Women%27s_Eurobasket_Qualifiers%2C_GER-BIH_1DX_6298_by_Stepro.jpg,images/060_Walt_Hopkins.jpg,https://www.basketball-reference.com/wnba/coaches/hopkiwa01w.html,https://en.wikipedia.org/wiki/Walt_Hopkins,138
61,42,44.44,2.026,Ryan Weisenberg,weisery99w,1975-01-21,basketball-reference,"Los Angeles, CA",basketball-reference,,,,Cal Poly,basketball-reference,,,,HOU,Assistant Coach,2008,1,4,14,11,3,0.786,3,1,2,0.333,0,0,0,0,0,0,0.385,0.16,,,https://www.basketball-reference.com/wnba/coaches/weisery99w.html,https://en.wikipedia.org/wiki/Ryan_Weisenberg,70
62,42,43.52,2.011,Jose Fernandez,fernajo01w,1971-11-18,basketball-reference,"Miami, FL",basketball-reference,,,,,,,,,DAL,Head Coach,2026,1,0,28,18,10,0.643,0,0,0,,0,0,0,0,0,0,0.63,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/JFPhotoWiki.jpg/960px-JFPhotoWiki.jpg,images/062_Jose_Fernandez.jpg,https://www.basketball-reference.com/wnba/coaches/fernajo01w.html,https://en.wikipedia.org/wiki/Jose_Fernandez_(basketball),128
63,42,42.59,1.865,Tree Rollins,rollitr01w,1955-06-16,basketball-reference,"Winter Haven, FL",basketball-reference,,,,Clemson,basketball-reference,"Crisp County (Cordele, Georgia)",,,CHI,Assistant Coach,2015,2,5,52,24,28,0.462,0,0,0,,0,0,0,0,0,0,0.84,0,https://upload.wikimedia.org/wikipedia/commons/2/24/Tree_Rollins_2012.jpg,images/063_Tree_Rollins.jpg,https://www.basketball-reference.com/wnba/coaches/rollitr01w.html,https://en.wikipedia.org/wiki/Tree_Rollins,110
64,41,41.67,1.855,Heidi VanDerveer,vandehe99w,1964-02-11,basketball-reference,"Chautauqua, NY",basketball-reference,,,,College of Charleston,basketball-reference,,,,SEA,Assistant Coach,2007,3,6,56,17,39,0.304,0,0,0,,0,0,0,0,0,0,0.595,0,,,https://www.basketball-reference.com/wnba/coaches/vandehe99w.html,https://en.wikipedia.org/wiki/Heidi_VanDerveer,100
65,41,40.74,1.745,Sydney Johnson,johnssy01w,1974-04-26,wikipedia,"Lansing, Michigan, U.S.",wikipedia,,,,Princeton (1993–1997),wikipedia,"Moorhead (Moorhead, Minnesota) Towson Catholic (Towson, Maryland) Fork Union Military Academy(Fork Union, Virginia)",,,WAS,Head Coach,2026,2,1,71,31,40,0.437,0,0,0,,0,0,0,0,0,0,1.085,0,https://upload.wikimedia.org/wikipedia/commons/1/10/Sydney_Johnson_2020_Air_Force_portrait.jpg,images/065_Sydney_Johnson.jpg,https://www.basketball-reference.com/wnba/coaches/johnssy01w.html,https://en.wikipedia.org/wiki/Sydney_Johnson,98
66,40,39.81,1.735,Katie Smith,smithka01w,1974-06-04,basketball-reference,"Lancaster, OH",basketball-reference,,,,Ohio State,basketball-reference,"Logan (Logan, Ohio)",,,MIN,Associate Head Coach,2024,2,9,68,17,51,0.25,0,0,0,,0,0,0,0,0,0,0.595,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Katie_Smith_at_a_Minnesota_Lynx_press_conference_%28cropped%29.jpg/960px-Katie_Smith_at_a_Minnesota_Lynx_press_conference_%28cropped%29.jpg,images/066_Katie_Smith.jpg,https://www.basketball-reference.com/wnba/coaches/smithka01w.html,https://en.wikipedia.org/wiki/Katie_Smith,110
67,39,38.43,1.685,Alex Sarama,saramal01w,1995-07-21,wikipedia,"Guildford, Surrey, England",wikipedia,,,,,,,,,POR,Head Coach,2026,1,0,28,11,17,0.393,0,0,0,,0,0,0,1,0,0,0.385,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/AlexSaramaBio_%28cropped%29.jpg/960px-AlexSaramaBio_%28cropped%29.jpg,images/067_Alex_Sarama.jpg,https://www.basketball-reference.com/wnba/coaches/saramal01w.html,https://en.wikipedia.org/wiki/Alex_Sarama,98
68,39,38.43,1.685,Lynne Roberts,roberly01w,1975-08-28,basketball-reference,"Redding, CA",basketball-reference,,,,Seattle Pacific University,basketball-reference,,,,LAS,Head Coach,2026,2,0,71,31,40,0.437,0,0,0,,0,0,0,0,0,0,1.085,0,https://upload.wikimedia.org/wikipedia/commons/4/46/Lynne_Roberts_%28basketball%29.jpg,images/068_Lynne_Roberts.jpg,https://www.basketball-reference.com/wnba/coaches/roberly01w.html,https://en.wikipedia.org/wiki/Lynne_Roberts_(basketball),138
69,39,37.04,1.683,Emre Vatansever,vatanem99w,,,,,,,,Marmara University,wikipedia,,,,WAS,Assistant Coach,2025,3,6,24,11,13,0.458,2,0,2,0,0,0,0,0,0,0,0.385,0,,,https://www.basketball-reference.com/wnba/coaches/vatanem99w.html,https://en.wikipedia.org/wiki/Emre_Vatansever,98
70,38,36.11,1.595,Amber Stocks,stockam01w,1977-09-12,basketball-reference,"Akron, OH",basketball-reference,,,,Cincinnati,basketball-reference,,,,CHI,Head Coach,2018,2,2,68,25,43,0.368,0,0,0,,0,0,0,0,0,0,0.875,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Chicago_Sky_head_coach%2C_Amber_Stocks%2C_gives_directions_from_the_sideline_%28cropped%29.jpg/960px-Chicago_Sky_head_coach%2C_Amber_Stocks%2C_gives_directions_from_the_sideline_%28cropped%29.jpg,images/070_Amber_Stocks.jpg,https://www.basketball-reference.com/wnba/coaches/stockam01w.html,https://en.wikipedia.org/wiki/Amber_Stocks,108
71,38,35.19,1.564,Russ Pennell,penneru99w,1960-11-28,basketball-reference,"Pittsburg, KS",basketball-reference,,,,Arkansas,basketball-reference,,,,PHO,Head Coach,2013,1,0,13,9,4,0.692,5,2,3,0.4,0,0,0,0,0,0,0.315,0.32,,,https://www.basketball-reference.com/wnba/coaches/penneru99w.html,https://en.wikipedia.org/wiki/Russ_Pennell,100
72,37,34.26,1.538,Chris DeMarco,demarch99w,1985-09-26,basketball-reference,"Appleton, WI",basketball-reference,,,,Dominican University of California,wikipedia,,,,NYL,Head Coach,2026,1,0,28,16,12,0.571,0,0,0,,0,0,0,0,0,0,0.56,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Chris_DeMarco_%28cropped%29.jpg/960px-Chris_DeMarco_%28cropped%29.jpg,images/072_Chris_DeMarco.jpg,https://www.basketball-reference.com/wnba/coaches/demarch99w.html,https://en.wikipedia.org/wiki/Chris_DeMarco,128
73,37,33.33,1.51,Don Zierden,zierddo99w,1958-09-27,basketball-reference,"Minneapolis, MN",basketball-reference,,,,Mount Senario (1977–1981),wikipedia,"DeLaSalle(Minneapolis, Minnesota)",,,MIN,Head Coach,2008,2,0,68,26,42,0.382,0,0,0,,0,0,0,0,0,0,0.91,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/Don_Zierdan_%28cropped%29.jpg,images/073_Don_Zierden.jpg,https://www.basketball-reference.com/wnba/coaches/zierddo99w.html,https://en.wikipedia.org/wiki/Don_Zierden,128
74,36,32.41,1.445,Tyler Marsh,marshty99w,1987-12-09,basketball-reference,"Miami, FL",basketball-reference,,,,UAB (2006–2008) Birmingham-Southern (2009–2010),wikipedia,"Miami Christian School(Miami, Florida) Bridgton Academy(North Bridgton, Maine)",,,CHI,Head Coach,2026,2,3,71,19,52,0.268,0,0,0,,0,0,0,0,0,0,0.665,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/111224_Tyler_Marsh_Introduction_Chicago_Sky_%28cropped%29.jpg/960px-111224_Tyler_Marsh_Introduction_Chicago_Sky_%28cropped%29.jpg,images/074_Tyler_Marsh.jpg,https://www.basketball-reference.com/wnba/coaches/marshty99w.html,https://en.wikipedia.org/wiki/Tyler_Marsh,128
75,36,31.48,1.395,Michael Adams,adamsmi99w,1963-01-19,basketball-reference,"Hartford, CT",basketball-reference,,,,Boston College,basketball-reference,"Hartford Public(Hartford, Connecticut)",,,WAS,Head Coach,2004,1,0,34,17,17,0.5,3,1,2,0.333,0,0,0,0,0,0,0.595,0.16,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/075_Michael_Adams.png,https://www.basketball-reference.com/wnba/coaches/adamsmi99w.html,https://en.wikipedia.org/wiki/Michael_Adams_(basketball),110
76,35,30.56,1.382,Julie Rousseau,roussju99w,,,"Los Angeles, California, U.S.",wikipedia,,,,"University of California, Irvine",basketball-reference,,,,SEA,Assistant Coach,2015,2,2,37,17,20,0.459,0,0,0,,0,0,0,0,0,0,0.595,0,,,https://www.basketball-reference.com/wnba/coaches/roussju99w.html,https://en.wikipedia.org/wiki/Julie_Rousseau,98
77,35,29.63,1.37,Dee Brown,brownde99w,1968-11-29,basketball-reference,"Jacksonville, FL",basketball-reference,,,,Jacksonville University,basketball-reference,"Bolles School (Jacksonville, Florida)",,,SAS,Head Coach,2004,2,0,58,22,36,0.379,0,0,0,,0,0,0,0,0,0,0.77,0,https://upload.wikimedia.org/wikipedia/commons/9/93/Pistons_asst_coach_Dee_Brown_in_2012.jpg,images/077_Dee_Brown.jpg,https://www.basketball-reference.com/wnba/coaches/brownde99w.html,https://en.wikipedia.org/wiki/Dee_Brown_(basketball%2C_born_1968),138
78,34,28.7,1.365,Carlos Knox,knoxca99w,1974-10-07,basketball-reference,(),wikipedia,,,,IUPUI,basketball-reference,"Meadowdale (Dayton, Ohio)",,,IND,Assistant Coach,2022,4,1,27,3,24,0.111,0,0,0,,0,0,0,0,0,0,0.105,0,https://upload.wikimedia.org/wikipedia/commons/7/78/Carlos_Knox.jpg,images/078_Carlos_Knox.jpg,https://www.basketball-reference.com/wnba/coaches/knoxca99w.html,https://en.wikipedia.org/wiki/Carlos_Knox,110
79,34,27.78,1.315,Vanessa Nygaard,nygaava01w,1975-03-13,basketball-reference,"Scottsdale, AZ",basketball-reference,,,,Stanford,basketball-reference,"Carlsbad High School(Carlsbad, California)",,,PHO,Head Coach,2023,2,2,48,17,31,0.354,2,0,2,0,0,0,0,0,0,0,0.595,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/079_Vanessa_Nygaard.png,https://www.basketball-reference.com/wnba/coaches/nygaava01w.html,https://en.wikipedia.org/wiki/Vanessa_Nygaard,138
80,34,26.85,1.282,Cynthia Cooper,coopecy01w,1963-04-14,basketball-reference,"Chicago, IL",basketball-reference,,,,USC,basketball-reference,"Locke (Los Angeles, California)",,,PHO,Head Coach,2002,2,0,42,19,23,0.452,0,0,0,,0,0,0,0,0,0,0.665,0,https://upload.wikimedia.org/wikipedia/commons/2/24/Cynthia_Cooper-Dyke_in_2011.jpg,images/080_Cynthia_Cooper.jpg,https://www.basketball-reference.com/wnba/coaches/coopecy01w.html,https://en.wikipedia.org/wiki/Cynthia_Cooper-Dyke,111
81,33,25.93,1.23,Rachid Meziane,meziara01w,1980-02-10,basketball-reference,"Clermont-Ferrand, FR",basketball-reference,,,,,,,,,CON,Head Coach,2026,2,0,72,18,54,0.25,0,0,0,,0,0,0,0,0,0,0.63,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Rachid_Meziane_2025_%28cropped%29.jpg/960px-Rachid_Meziane_2025_%28cropped%29.jpg,images/081_Rachid_Meziane.jpg,https://www.basketball-reference.com/wnba/coaches/meziara01w.html,https://en.wikipedia.org/wiki/Rachid_Meziane,100
82,33,25,1.09,Muggsy Bogues,boguemu99w,1965-01-09,basketball-reference,"Baltimore, MD",basketball-reference,,,,Wake Forest,basketball-reference,"Paul Laurence Dunbar(Baltimore, Maryland)",,,CHA,Head Coach,2006,2,0,44,14,30,0.318,0,0,0,,0,0,0,0,0,0,0.49,0,https://upload.wikimedia.org/wikipedia/commons/9/91/Muggsy_Bogues_%28250128-Z-KG453-1009%29_%28cropped%29.jpg,images/082_Muggsy_Bogues.jpg,https://www.basketball-reference.com/wnba/coaches/boguemu99w.html,https://en.wikipedia.org/wiki/Muggsy_Bogues,110
83,32,24.07,1.055,Denise Taylor,taylode99w,,,,,,,,Texas Southern,basketball-reference,,,Coach T,UTA,Head Coach,1998,2,0,47,13,34,0.277,0,0,0,,0,0,0,0,0,0,0.455,0,,,https://www.basketball-reference.com/wnba/coaches/taylode99w.html,https://en.wikipedia.org/wiki/Denise_Taylor,98
84,32,23.15,1.035,Shell Dailey,dailesh99w,,,,,,,,Texas,basketball-reference,,,,SAS,Assistant Coach,2004,2,2,20,9,11,0.45,0,0,0,,0,0,0,0,0,0,0.315,0,,,https://www.basketball-reference.com/wnba/coaches/dailesh99w.html,https://en.wikipedia.org/wiki/Shell_Dailey,70
85,31,22.22,1.01,Greg Williams,willigr99w,1947-01-27,basketball-reference,"Portland, IN",basketball-reference,,,,Rice University,basketball-reference,"Portland (Portland, Indiana)",,,DET,Head Coach,2002,2,1,42,10,32,0.238,0,0,0,,0,0,0,0,0,0,0.35,0,,,https://www.basketball-reference.com/wnba/coaches/willigr99w.html,https://en.wikipedia.org/wiki/Greg_Williams_(basketball),110
86,31,21.3,0.975,Linda Sharp,sharpli99w,1950-03-14,basketball-reference,"Okmulgee, OK",basketball-reference,,,,Cal State Fullerton,basketball-reference,,,,PHX,Assistant Coach,2002,2,1,33,9,24,0.273,0,0,0,,0,0,0,0,0,0,0.315,0,https://upload.wikimedia.org/wikipedia/commons/2/22/Linda_Sharp_at_the_White_House_in_1984.jpg,images/086_Linda_Sharp.jpg,https://www.basketball-reference.com/wnba/coaches/sharpli99w.html,https://en.wikipedia.org/wiki/Linda_Sharp,100
87,30,20.37,0.95,Chris Koclanes,koclach01w,,,"Pelham, New York, U.S",wikipedia,,,,Old Dominion,wikipedia,,,,DAL,Head Coach,2025,1,5,44,10,34,0.227,0,0,0,,0,0,0,0,0,0,0.35,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Chris_Koclanes_2025_%28cropped%29.jpg/960px-Chris_Koclanes_2025_%28cropped%29.jpg,images/087_Chris_Koclanes.jpg,https://www.basketball-reference.com/wnba/coaches/koclach01w.html,https://en.wikipedia.org/wiki/Chris_Koclanes,98
88,30,19.44,0.845,Nolan Richardson,richano99w,1941-12-27,basketball-reference,"El Paso, TX",basketball-reference,,,,Eastern Arizona College,basketball-reference,,,,TUL,Head Coach,2011,2,0,45,7,38,0.156,0,0,0,,0,0,0,0,0,0,0.245,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Nolan_Richardson.jpg/960px-Nolan_Richardson.jpg,images/088_Nolan_Richardson.jpg,https://www.basketball-reference.com/wnba/coaches/richano99w.html,https://en.wikipedia.org/wiki/Nolan_Richardson,100
89,29,18.52,0.833,Henry Bibby,bibbyhe99w,1949-11-24,basketball-reference,"Franklinton, NC",basketball-reference,,,,UCLA,basketball-reference,"B.F. Person-Albion(Franklinton, North Carolina)",,,LAS,Head Coach,2005,1,0,28,13,15,0.464,0,0,0,,0,0,0,0,0,0,0.455,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Henry_Bibby_playing_against_Santa_Clara%2C_1972_%28cropped%29.jpg/960px-Henry_Bibby_playing_against_Santa_Clara%2C_1972_%28cropped%29.jpg,images/089_Henry_Bibby.jpg,https://www.basketball-reference.com/wnba/coaches/bibbyhe99w.html,https://en.wikipedia.org/wiki/Henry_Bibby,110
90,29,17.59,0.815,Teresa Weatherspoon,weathte01w,1965-12-08,basketball-reference,"Pineland, TX",basketball-reference,,,,Louisiana Tech,basketball-reference,"West Sabine (Pineland, Texas)",,,CHI,Head Coach,2024,1,1,40,13,27,0.325,0,0,0,,0,0,0,0,0,0,0.455,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Teresa_Weatherspoon_Chicago_Sky_Head_Coach_%28cropped%29.jpg/960px-Teresa_Weatherspoon_Chicago_Sky_Head_Coach_%28cropped%29.jpg,images/090_Teresa_Weatherspoon.jpg,https://www.basketball-reference.com/wnba/coaches/weathte01w.html,https://en.wikipedia.org/wiki/Teresa_Weatherspoon,138
91,28,16.67,0.79,Bo Overton,overtbo99w,1960-07-09,basketball-reference,"Ada, OK",basketball-reference,,,,Oklahoma,basketball-reference,"Ada (Ada, Oklahoma)",,,CHI,Head Coach,2007,1,0,34,14,20,0.412,0,0,0,,0,0,0,0,0,0,0.49,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/091_Bo_Overton.png,https://www.basketball-reference.com/wnba/coaches/overtbo99w.html,https://en.wikipedia.org/wiki/Bo_Overton,110
92,28,15.74,0.74,Frank Layden,laydefr99w,1932-01-05,basketball-reference,"Brooklyn, NY",basketball-reference,2025-07-09,,,Niagara (1950–1953),wikipedia,"Fort Hamilton(Brooklyn, New York)",,,UTA,Head Coach,1999,2,0,15,4,11,0.267,0,0,0,,0,0,0,0,0,0,0.14,0,https://upload.wikimedia.org/wikipedia/commons/2/27/Frank_Layden_1988-89.jpg,images/092_Frank_Layden.jpg,https://www.basketball-reference.com/wnba/coaches/laydefr99w.html,https://en.wikipedia.org/wiki/Frank_Layden,128
93,27,14.81,0.73,Jessie Kenlaw,kenlaje99w,1953-07-03,basketball-reference,"Savannah, GA",basketball-reference,,,,Savannah State University,basketball-reference,,,,WAS,Head Coach,2008,1,6,12,2,10,0.167,0,0,0,,0,0,0,0,0,0,0.07,0,,,https://www.basketball-reference.com/wnba/coaches/kenlaje99w.html,https://en.wikipedia.org/wiki/Jessie_Kenlaw,70
94,27,13.89,0.725,Nikki Blue,blueni01w,1984-04-29,basketball-reference,"Bakersfield, CA",basketball-reference,,,,UCLA,basketball-reference,"West (Bakersfield, California)",,,LAS,Assistant Coach,2025,1,3,28,7,21,0.25,0,0,0,,0,0,0,0,0,0,0.245,0,,,https://www.basketball-reference.com/wnba/coaches/blueni01w.html,https://en.wikipedia.org/wiki/Nikki_Blue,110
95,27,12.96,0.69,Mike Petersen,petermi99w,1958-04-18,basketball-reference,"Eureka, CA",basketball-reference,,,,College of the Redwoods (1976–1978) Northwest Christian (1978–1980),wikipedia,"Eureka (Eureka, California)",,,ATL,Head Coach,2021,1,3,19,6,13,0.316,0,0,0,,0,0,0,0,0,0,0.21,0,,,https://www.basketball-reference.com/wnba/coaches/petermi99w.html,https://en.wikipedia.org/wiki/Mike_Petersen_(basketball),128
96,26,12.04,0.67,Carolyn Jenkins,jenkica99w,1969-01-29,basketball-reference,"Fresno, CA",basketball-reference,,,,California,basketball-reference,,,,MIN,Assistant Coach,2007,1,5,11,2,9,0.182,0,0,0,,0,0,0,0,0,0,0.07,0,,,https://www.basketball-reference.com/wnba/coaches/jenkica99w.html,https://en.wikipedia.org/wiki/Carolyn_Jenkins,138
97,26,11.11,0.65,Tom Maher,maherto99w,1952-09-04,basketball-reference,"Melbourne, AU",basketball-reference,,,,,,,,,WAS,Head Coach,2001,1,0,32,10,22,0.313,0,0,0,,0,0,0,0,0,0,0.35,0,,,https://www.basketball-reference.com/wnba/coaches/maherto99w.html,https://en.wikipedia.org/wiki/Tom_Maher,70
98,25,10.19,0.64,T.R. Dunn,dunntr01w,1955-02-01,basketball-reference,"Birmingham, AL",basketball-reference,,,,Alabama,basketball-reference,"West End (Birmingham, Alabama)",,,CHA,Head Coach,2000,1,1,32,8,24,0.25,0,0,0,,0,0,0,0,0,0,0.28,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images/098_T.R._Dunn.png,https://www.basketball-reference.com/wnba/coaches/dunntr01w.html,https://en.wikipedia.org/wiki/T._R._Dunn,110
99,25,9.26,0.63,Penny Toler,tolerpe01w,1966-03-24,basketball-reference,"Washington, DC",basketball-reference,,,,San Diego State,basketball-reference,"St. Anthony (Washington, D.C.)",,,LAS,Head Coach,2014,1,0,12,6,6,0.5,2,0,2,0,0,0,0,0,0,0,0.21,0,https://upload.wikimedia.org/wikipedia/commons/6/65/Penny_Toler_SDSU_%28cropped%29.png,images/099_Penny_Toler.png,https://www.basketball-reference.com/wnba/coaches/tolerpe01w.html,https://en.wikipedia.org/wiki/Penny_Toler,138
100,24,7.87,0.61,Darius Taylor,tayloda99w,1978-10-02,basketball-reference,"Chicago, IL",basketball-reference,,,,Michigan,basketball-reference,"Lake View (Lake View, Chicago, Illinois)",,,ATL,Assistant Coach,2021,1,4,13,2,11,0.154,0,0,0,,0,0,0,0,0,0,0.07,0,,,https://www.basketball-reference.com/wnba/coaches/tayloda99w.html,https://en.wikipedia.org/wiki/Darius_Taylor,110
